gender,speaker,phoneme,phoneme_in_ascii,F0,F1,F2,F3
1,1,1,IY,160.0,240.0,2280.0,2850.0
1,1,1,IY,186.0,280.0,2400.0,2790.0
1,1,2,IH,203.0,390.0,2030.0,2640.0
1,1,2,IH,192.0,310.0,1980.0,2550.0
1,1,3,EH,161.0,490.0,1870.0,2420.0
1,1,4,AE,180.0,630.0,1700.0,2550.0
1,1,5,AH,144.0,590.0,1250.0,2620.0
1,1,5,AH,148.0,620.0,1300.0,2530.0
1,1,6,AA,148.0,740.0,1070.0,2490.0
1,1,6,AA,170.0,800.0,1060.0,2640.0
1,1,8,UH,163.0,440.0,1120.0,2210.0
1,1,8,UH,190.0,400.0,1070.0,2280.0
1,1,9,UW,160.0,240.0,1040.0,2150.0
1,1,9,UW,157.0,270.0,930.0,2280.0
1,1,10,ER,177.0,370.0,1520.0,1670.0
1,1,10,ER,164.0,460.0,1330.0,1590.0
1,2,1,IY,147.0,220.0,2220.0,2910.0
1,2,1,IY,148.0,210.0,2360.0,3250.0
1,2,2,IH,141.0,410.0,1890.0,2680.0
1,2,2,IH,139.0,420.0,1850.0,2500.0
1,2,3,EH,136.0,500.0,1760.0,2590.0
1,2,4,AE,128.0,690.0,1610.0,2560.0
1,2,4,AE,131.0,700.0,1690.0,2580.0
1,2,6,AA,140.0,650.0,1040.0,2450.0
1,2,6,AA,136.0,670.0,1100.0,2430.0
1,2,7,AO,149.0,580.0,580.0,2470.0
1,2,7,AO,140.0,560.0,560.0,2410.0
1,2,8,UH,145.0,450.0,940.0,1910.0
1,2,8,UH,141.0,410.0,830.0,2240.0
1,2,9,UW,140.0,280.0,650.0,3300.0
1,2,9,UW,137.0,260.0,660.0,3300.0
1,2,10,ER,145.0,510.0,1210.0,1570.0
1,2,10,ER,145.0,510.0,1130.0,1510.0
1,3,1,IY,105.0,250.0,2180.0,2680.0
1,3,1,IY,111.0,244.0,2300.0,2780.0
1,3,2,IH,100.0,400.0,1930.0,2610.0
1,3,2,IH,104.0,400.0,1990.0,2700.0
1,3,3,EH,100.0,550.0,1810.0,2500.0
1,3,3,EH,95.0,540.0,1810.0,2480.0
1,3,4,AE,93.0,630.0,1710.0,2400.0
1,3,4,AE,94.0,658.0,1755.0,2305.0
1,3,5,AH,105.0,612.0,1160.0,2350.0
1,3,6,AA,91.0,640.0,1080.0,2140.0
1,3,6,AA,94.0,720.0,1090.0,2230.0
1,3,7,AO,92.0,550.0,870.0,2300.0
1,3,7,AO,120.0,540.0,840.0,2280.0
1,3,8,UH,114.0,460.0,1150.0,2290.0
1,3,8,UH,114.0,456.0,1030.0,2300.0
1,3,9,UW,112.0,340.0,950.0,2240.0
1,3,10,ER,100.0,500.0,1370.0,1780.0
1,3,10,ER,106.0,530.0,1330.0,1800.0
1,4,1,IY,150.0,300.0,2240.0,3400.0
1,4,1,IY,156.0,280.0,2450.0,3200.0
1,4,2,IH,146.0,440.0,2050.0,2360.0
1,4,3,EH,130.0,570.0,1780.0,2410.0
1,4,3,EH,150.0,555.0,1890.0,2440.0
1,4,4,AE,125.0,750.0,1610.0,2340.0
1,4,4,AE,136.0,770.0,1580.0,2350.0
1,4,5,AH,132.0,660.0,1200.0,2330.0
1,4,6,AA,125.0,750.0,1100.0,2550.0
1,4,6,AA,138.0,800.0,1120.0,2500.0
1,4,7,AO,143.0,540.0,850.0,2320.0
1,4,7,AO,150.0,555.0,890.0,2370.0
1,4,8,UH,136.0,460.0,960.0,2210.0
1,4,8,UH,156.0,460.0,1000.0,2350.0
1,4,9,UW,140.0,380.0,950.0,2050.0
1,4,9,UW,148.0,385.0,850.0,2330.0
1,4,10,ER,150.0,590.0,1400.0,1840.0
1,4,10,ER,145.0,555.0,1430.0,1730.0
1,5,1,IY,140.0,310.0,2310.0,2820.0
1,5,1,IY,131.0,260.0,2250.0,2850.0
1,5,2,IH,137.0,440.0,2060.0,2640.0
1,5,2,IH,134.0,430.0,1880.0,2450.0
1,5,3,EH,140.0,580.0,1910.0,2500.0
1,5,3,EH,137.0,550.0,1770.0,2400.0
1,5,4,AE,143.0,830.0,1720.0,2180.0
1,5,4,AE,135.0,750.0,1690.0,2320.0
1,5,5,AH,136.0,630.0,1300.0,1950.0
1,5,5,AH,130.0,650.0,1170.0,2000.0
1,5,6,AA,131.0,760.0,1220.0,2140.0
1,5,7,AO,136.0,540.0,970.0,1980.0
1,5,7,AO,124.0,550.0,880.0,1950.0
1,5,8,UH,133.0,470.0,1040.0,1990.0
1,5,8,UH,132.0,490.0,990.0,1920.0
1,5,9,UW,141.0,380.0,950.0,2140.0
1,5,9,UW,133.0,330.0,800.0,2130.0
1,5,10,ER,143.0,560.0,1510.0,1800.0
1,5,10,ER,136.0,510.0,1460.0,1700.0
1,6,1,IY,125.0,312.0,2350.0,2800.0
1,6,1,IY,119.0,330.0,2430.0,2870.0
