"Name","State","Notes","User","Tags","Created","Runtime","Sweep","learning_rate","method","metric.goal","metric.name","neurons_fc1","neurons_fc2","optimizer","parameters.learning_rates","parameters.neurons_fc1s","parameters.neurons_fc2s","parameters.optimizers"
"restful-sweep-10","finished","-","","","2024-10-16T00:54:31.000Z","1224","r9sxjba3","0.0001","","","","512","256","adam","","","",""
"happy-sweep-9","finished","-","","","2024-10-16T00:39:37.000Z","890","r9sxjba3","0.0001","","","","256","128","sgd","","","",""
"lucky-sweep-8","finished","-","","","2024-10-16T00:17:45.000Z","1306","r9sxjba3","0.0001","","","","1024","64","adam","","","",""
"gallant-sweep-7","finished","-","","","2024-10-15T23:57:56.000Z","1185","r9sxjba3","0.001","","","","1024","128","sgd","","","",""
"legendary-sweep-6","finished","-","","","2024-10-15T23:39:14.000Z","1115","r9sxjba3","0.0001","","","","512","128","sgd","","","",""
"rich-sweep-5","finished","-","","","2024-10-15T23:21:19.000Z","1068","r9sxjba3","0.001","","","","256","256","sgd","","","",""
"sandy-sweep-4","finished","-","","","2024-10-15T23:07:00.000Z","855","r9sxjba3","0.0001","","","","256","128","sgd","","","",""
"astral-sweep-3","finished","-","","","2024-10-15T22:51:19.000Z","939","r9sxjba3","0.0001","","","","1024","256","sgd","","","",""
"cosmic-sweep-2","finished","-","","","2024-10-15T22:31:31.000Z","1185","r9sxjba3","0.001","","","","512","256","adam","","","",""
"usual-sweep-1","finished","-","","","2024-10-15T22:12:28.000Z","1140","r9sxjba3","0.0001","","","","256","64","adam","","","",""
