time;V(Net-_C3-Pad1_);
0;-5.98317;
1e-08;-5.98317;
2e-08;-5.98317;
4e-08;-5.98317;
8e-08;-5.98317;
1.6e-07;-5.98317;
3.2e-07;-5.98317;
6.4e-07;-5.98317;
1e-06;-5.98317;
1.064e-06;-5.98317;
1.192e-06;-5.98317;
1.448e-06;-5.98317;
1.96e-06;-5.98317;
2.984e-06;-5.98317;
5.032e-06;-5.98317;
9.128e-06;-5.98317;
1.732e-05;-5.98317;
3.3704e-05;-5.98317;
5.3704e-05;-5.98317;
7.3704e-05;-5.98317;
9.3704e-05;-5.98317;
0.000113704;-5.98317;
0.000133704;-5.98317;
0.000153704;-5.98317;
0.000173704;-5.98317;
0.000193704;-5.98317;
0.000213704;-5.98317;
0.000233704;-5.98317;
0.000253704;-5.98317;
0.000273704;-5.98317;
0.000293704;-5.98317;
0.000313704;-5.98317;
0.000333704;-5.98317;
0.000353704;-5.98317;
0.000373704;-5.98317;
0.000393704;-5.98317;
0.000413704;-5.98317;
0.000433704;-5.98317;
0.000453704;-5.98317;
0.000473704;-5.98317;
0.000493704;-5.98317;
0.000501;-5.98317;
0.0005011;-5.98317;
0.0005013;-5.98317;
0.0005017;-5.98317;
0.000502;-5.98317;
0.00050208;-5.98317;
0.00050224;-5.98317;
0.00050256;-5.98317;
0.0005032;-5.98317;
0.00050448;-5.98317;
0.00050704;-5.98317;
0.00051216;-5.98317;
0.0005224;-5.98317;
0.0005424;-5.98317;
0.0005624;-5.98317;
0.0005824;-5.98317;
0.0006024;-5.98317;
0.0006224;-5.98317;
0.0006424;-5.98317;
0.0006624;-5.98317;
0.0006824;-5.98317;
0.0007024;-5.98317;
0.0007224;-5.98317;
0.0007424;-5.98317;
0.0007624;-5.98317;
0.0007824;-5.98317;
0.0008024;-5.98317;
0.0008224;-5.98317;
0.0008424;-5.98317;
0.0008624;-5.98317;
0.0008824;-5.98317;
0.0009024;-5.98317;
0.0009224;-5.98317;
0.0009424;-5.98317;
0.0009624;-5.98317;
0.0009824;-5.98317;
0.001;-5.98317;
0.0010001;-5.98317;
0.0010003;-5.98317;
0.0010007;-5.98317;
0.001001;-5.98317;
0.00100108;-5.98317;
0.00100124;-5.98317;
