"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100n","","","","",""
"C2","1","1u","","","","",""
"C3","1","10u","","","","10u",""
"D1","1","D","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_DIODEs"
"R1","1","12k","","","","",""
"R2","1","100k","","","","",""
"R3","1","50k","","","","",""
"R4","1","10k","","","","",""
"R5","1","11.7k","","","","",""
"R6","1","10k","","","","10k",""
"U1,U2,U3,U4","4","","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec__SUBCKT_Subcircuits"
"V1","1","VPULSE","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
"V2,V4,V6,V10","4","15","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
"V3,V5,V7,V9","4","-15","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
"V8","1","5","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
