time;V(Net-_D1-K_);V(Net-_U2-+_);
0;14.3801;15.0044;
1e-08;14.3801;15.0045;
2e-08;14.3801;15.0046;
4e-08;14.3801;15.0048;
8e-08;14.3801;15.0051;
1.6e-07;14.3801;15.0058;
3.2e-07;14.3801;15.0071;
6.4e-07;14.3801;15.0098;
1e-06;14.3801;15.0128;
1.064e-06;14.3801;15.0128;
1.192e-06;14.3801;15.0128;
1.448e-06;14.3801;15.0128;
1.96e-06;14.3801;15.0128;
2.984e-06;14.3801;15.0127;
5.032e-06;14.3801;15.0127;
9.128e-06;14.3801;15.0127;
1.732e-05;14.3801;15.0126;
3.3704e-05;14.3801;15.0125;
5.3704e-05;14.3801;15.0124;
7.3704e-05;14.3801;15.0122;
9.3704e-05;14.3801;15.0121;
0.000113704;14.3801;15.0119;
0.000133704;14.3801;15.0118;
0.000153704;14.3801;15.0116;
0.000173704;14.3801;15.0115;
0.000193704;14.3801;15.0114;
0.000213704;14.3801;15.0112;
0.000233704;14.3801;15.0111;
0.000253704;14.3801;15.0109;
0.000273704;14.3801;15.0108;
0.000293704;14.3801;15.0106;
0.000313704;14.3801;15.0105;
0.000333704;14.3801;15.0103;
0.000353704;14.3801;15.0101;
0.000373704;14.3801;15.0099;
0.000393704;14.3801;15.0096;
0.000413704;14.3801;14.9955;
0.000433704;14.38;14.8854;
0.000453704;14.38;14.7693;
0.000473704;14.38;14.6591;
0.000493704;14.38;14.5439;
0.000513704;14.3799;14.4338;
0.000533704;14.3769;14.3193;
0.000553704;14.3712;14.2093;
0.000573704;14.3654;14.0957;
0.000593704;14.3596;13.9858;
0.000610704;14.3547;13.8896;
0.000627962;14.3498;13.7951;
0.000644363;14.3451;13.7028;
0.000664363;14.3393;13.5932;
0.000684363;14.3336;13.4815;
0.000704363;14.3279;13.3722;
0.000724363;14.3221;13.2611;
0.000744363;14.3164;13.1521;
0.000764363;14.3107;13.0416;
0.000784363;14.305;12.9329;
0.000804363;14.2992;12.8229;
0.000824363;14.2935;12.7146;
0.000844363;14.2878;12.6052;
0.000864363;14.2821;12.4971;
0.000884363;14.2764;12.3882;
0.000904363;14.2707;12.2805;
0.000924363;14.265;12.1722;
0.000944363;14.2593;12.0648;
0.000964363;14.2536;11.957;
0.000984363;14.2479;11.85;
0.001001;14.2431;11.7606;
0.0010011;14.2431;11.7594;
0.0010013;14.243;11.7574;
0.0010017;14.2429;11.7551;
0.001002;14.2428;11.7544;
0.00100208;14.2428;11.755;
0.00100224;14.2428;11.756;
0.00100256;14.2427;11.7575;
0.0010032;14.2425;11.7598;
0.00100448;14.2421;11.7637;
0.00100704;14.2414;11.7713;
0.00101216;14.2399;11.7865;
0.0010224;14.237;11.817;
0.0010424;14.2313;11.8764;
0.0010624;14.2256;11.9357;
0.0010824;14.22;11.9949;
0.0011024;14.2143;12.054;
0.0011224;14.2086;12.1129;
0.0011424;14.2029;12.1717;
0.0011624;14.1972;12.2305;
0.0011824;14.1915;12.2891;
0.0012024;14.1859;12.3475;
0.0012224;14.1802;12.4059;
0.0012424;14.1745;12.4641;
0.0012624;14.1689;12.5223;
0.0012824;14.1632;12.5803;
0.0013024;14.1575;12.6382;
0.0013224;14.1519;12.6959;
0.0013424;14.1462;12.7536;
0.0013624;14.1405;12.8112;
0.0013824;14.1349;12.8686;
0.0014024;14.1292;12.9259;
0.0014224;14.1236;12.9831;
0.0014424;14.1179;13.0402;
0.0014624;14.1123;13.0972;
0.0014824;14.1066;13.154;
0.0015024;14.101;13.2108;
0.0015224;14.0954;13.2674;
0.0015424;14.0897;13.3239;
0.0015624;14.0841;13.3803;
0.0015824;14.0785;13.4366;
0.0016024;14.0728;13.4928;
0.0016224;14.0672;13.5489;
0.0016424;14.0616;13.6049;
0.0016624;14.056;13.6607;
0.0016824;14.0503;13.7164;
0.0017024;14.0447;13.7721;
0.0017224;14.0391;13.8276;
0.0017424;14.0335;13.883;
0.0017624;14.0279;13.9383;
0.0017824;14.0223;13.9935;
0.0018024;14.0167;14.0485;
0.0018224;14.0111;14.1035;
0.0018424;14.0055;14.1583;
0.0018624;13.9999;14.2131;
0.0018824;13.9943;14.2677;
0.0018966;14.1093;14.3064;
0.0019097;14.2153;14.3421;
0.00191584;14.2339;14.3588;
0.00192103;14.262;14.3729;
0.00192582;14.2747;14.3859;
0.00193125;14.2853;14.4007;
0.00194211;14.3114;14.4302;
0.00195934;14.334;14.4769;
0.00197934;14.3481;14.531;
0.00199934;14.3566;14.585;
0.002;14.3568;14.5867;
0.0020001;14.3568;14.5877;
0.0020003;14.3569;14.5892;
0.0020007;14.357;14.5905;
0.002001;14.3571;14.5904;
0.00200108;14.3571;14.5896;
0.00200124;14.3572;14.5882;
0.00200156;14.3573;14.5858;
0.0020022;14.3575;14.5818;
0.00200348;14.3579;14.5746;
0.00200604;14.3587;14.5602;
0.00201116;14.3601;14.5313;
0.0020214;14.3626;14.4737;
0.00203496;14.3653;14.3976;
0.00204891;14.3645;14.3193;
0.00206213;14.3607;14.2452;
0.00208213;14.3549;14.1333;
0.00210213;14.3491;14.0217;
0.00211637;14.345;13.9423;
0.0021312;14.3408;13.8598;
0.0021512;14.335;13.7487;
0.0021712;14.3293;13.6379;
0.0021912;14.3236;13.5272;
0.0022112;14.3178;13.4168;
0.0022312;14.3121;13.3066;
0.0022512;14.3064;13.1966;
0.0022712;14.3007;13.0868;
0.0022912;14.2949;12.9772;
0.0023112;14.2892;12.8679;
0.0023312;14.2835;12.7588;
0.0023512;14.2778;12.6499;
0.0023712;14.2721;12.5412;
0.0023912;14.2664;12.4327;
0.0024112;14.2607;12.3245;
0.0024312;14.255;12.2165;
0.0024512;14.2493;12.1086;
0.0024712;14.2436;12.001;
0.0024912;14.2379;11.8937;
0.0025112;14.2322;11.7865;
0.0025312;14.2265;11.6795;
0.0025512;14.2208;11.5728;
0.0025712;14.2151;11.4663;
0.0025912;14.2094;11.3599;
0.0026112;14.2037;11.2538;
0.0026312;14.1981;11.1479;
0.0026512;14.1924;11.0423;
0.0026712;14.1867;10.9368;
0.0026912;14.181;10.8315;
0.0027112;14.1754;10.7265;
0.0027312;14.1697;10.6217;
0.0027512;14.164;10.517;
0.0027712;14.1584;10.4126;
0.0027912;14.1527;10.3084;
0.0028112;14.147;10.2044;
0.0028312;14.1414;10.1006;
0.0028512;14.1357;9.99701;
0.0028712;14.1301;9.89363;
0.0028912;14.1244;9.79045;
0.0029112;14.1188;9.68748;
0.0029312;14.1131;9.58472;
0.0029512;14.1075;9.48217;
0.0029712;14.1018;9.37981;
0.0029912;14.0962;9.27767;
0.003001;14.0934;9.22769;
0.0030011;14.0934;9.22653;
0.0030013;14.0934;9.22454;
0.0030017;14.0933;9.22221;
0.003002;14.0932;9.22163;
0.00300208;14.0931;9.2222;
0.00300224;14.0931;9.22323;
0.00300256;14.093;9.22486;
0.0030032;14.0928;9.22732;
0.00300448;14.0925;9.23151;
0.00300704;14.0917;9.23977;
0.00301216;14.0903;9.25632;
0.0030224;14.0874;9.28937;
0.0030424;14.0818;9.35385;
0.0030624;14.0762;9.41819;
0.0030824;14.0705;9.4824;
0.0031024;14.0649;9.54648;
0.0031224;14.0593;9.61044;
0.0031424;14.0536;9.67427;
0.0031624;14.048;9.73797;
0.0031824;14.0424;9.80154;
0.0032024;14.0368;9.86499;
0.0032224;14.0312;9.92831;
0.0032424;14.0256;9.99151;
0.0032624;14.02;10.0546;
0.0032824;14.0144;10.1175;
0.0033024;14.0087;10.1803;
0.0033224;14.0031;10.243;
0.0033424;13.9975;10.3056;
0.0033624;13.9919;10.368;
0.0033824;13.9864;10.4303;
0.0034024;13.9808;10.4925;
0.0034224;13.9752;10.5546;
0.0034424;13.9696;10.6165;
0.0034624;13.964;10.6784;
0.0034824;13.9584;10.74;
0.0035024;13.9528;10.8016;
0.0035224;13.9472;10.8631;
0.0035424;13.9417;10.9244;
0.0035624;13.9361;10.9856;
0.0035824;13.9305;11.0467;
0.0036024;13.9249;11.1076;
0.0036224;13.9194;11.1685;
0.0036424;13.9138;11.2292;
0.0036624;13.9082;11.2898;
0.0036824;13.9027;11.3503;
0.0037024;13.8971;11.4106;
0.0037224;13.8916;11.4708;
0.0037424;13.886;11.531;
0.0037624;13.8805;11.5909;
0.0037824;13.8749;11.6508;
0.0038024;13.8694;11.7106;
0.0038224;13.8638;11.7702;
0.0038424;13.8583;11.8297;
0.0038624;13.8527;11.8891;
0.0038824;13.8472;11.9484;
0.0039024;13.8416;12.0075;
0.0039224;13.8361;12.0666;
0.0039424;13.8306;12.1255;
0.0039624;13.825;12.1843;
0.0039824;13.8195;12.243;
0.004;13.8147;12.2945;
0.0040001;13.8146;12.2955;
0.0040003;13.8146;12.297;
0.0040007;13.8145;12.2985;
0.004001;13.8144;12.2984;
0.00400108;13.8144;12.2977;
0.00400124;13.8143;12.2963;
0.00400156;13.8142;12.294;
0.0040022;13.814;12.2901;
0.00400348;13.8137;12.2832;
0.00400604;13.813;12.2693;
0.00401116;13.8116;12.2417;
0.0040214;13.8087;12.1864;
0.0040414;13.8032;12.0787;
0.0040614;13.7977;11.9711;
0.0040814;13.7922;11.8638;
0.0041014;13.7867;11.7567;
0.0041214;13.7812;11.6498;
0.0041414;13.7756;11.5431;
0.0041614;13.7701;11.4367;
0.0041814;13.7646;11.3304;
0.0042014;13.7591;11.2244;
0.0042214;13.7536;11.1185;
0.0042414;13.7481;11.0129;
0.0042614;13.7426;10.9075;
0.0042814;13.7371;10.8023;
0.0043014;13.7316;10.6973;
0.0043214;13.7261;10.5925;
0.0043414;13.7207;10.488;
0.0043614;13.7152;10.3836;
0.0043814;13.7097;10.2794;
0.0044014;13.7042;10.1755;
0.0044214;13.6987;10.0718;
